,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches
2017-05-28,66.0,6.6571428571428575,2.5714285714285716,3.7142857142857144,4.6000000000000005,28.12857142857143,31.157142857142855,25.385714285714283,9.214285714285714,33.642857142857146,13,4,4
2017-06-04,62.0,9.542857142857143,4.057142857142857,6.571428571428571,7.142857142857143,28.67142857142857,31.642857142857142,25.928571428571427,8.7,30.8,11,4,5
2017-06-11,80.0,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,29.314285714285717,32.25714285714286,27.442857142857143,11.200000000000001,29.385714285714283,14,4,3
2017-06-18,73.0,3.142857142857143,2.4,2.6285714285714286,2.7142857142857144,28.571428571428573,32.128571428571426,25.942857142857143,8.585714285714285,32.18571428571429,11,2,2
2017-06-25,75.0,10.37142857142857,7.571428571428571,9.571428571428571,10.171428571428573,27.900000000000002,30.714285714285715,24.32857142857143,6.8428571428571425,33.01428571428571,10,4,1
2017-07-02,63.0,0.4571428571428572,0.31428571428571433,0.34285714285714286,0.4,27.942857142857143,31.0,25.728571428571428,7.957142857142857,28.085714285714285,12,4,3
2017-07-09,53.0,4.6571428571428575,2.6,3.4857142857142853,4.4,27.8,30.400000000000002,24.87142857142857,8.071428571428571,31.842857142857145,14,5,6
2017-07-16,51.0,6.4,3.028571428571429,4.0285714285714285,4.4,27.25714285714286,30.099999999999998,24.785714285714285,7.814285714285715,37.785714285714285,12,5,2
2017-07-23,67.0,0.0,0.0,0.0,0.0,28.74285714285714,31.357142857142858,26.771428571428572,11.671428571428573,30.75714285714286,12,3,2
2017-07-30,60.0,0.34285714285714286,0.31428571428571433,0.31428571428571433,0.34285714285714286,29.099999999999998,31.814285714285717,27.0,13.057142857142859,37.699999999999996,9,0,3
2017-08-06,56.0,0.2285714285714286,0.2285714285714286,0.2285714285714286,0.2285714285714286,29.25714285714286,32.3,27.442857142857143,14.457142857142857,37.714285714285715,10,4,2
2017-08-13,53.0,3.057142857142857,1.9428571428571428,2.5142857142857147,2.7142857142857144,27.542857142857144,30.185714285714287,25.17142857142857,8.242857142857144,32.9,13,6,2
2017-08-20,52.0,6.942857142857142,4.514285714285714,5.571428571428571,6.2,27.814285714285717,31.314285714285713,25.214285714285715,10.12857142857143,36.471428571428575,12,3,2
2017-08-27,33.0,1.1714285714285713,0.8857142857142856,1.0,1.0857142857142856,28.228571428571428,30.7,26.2,11.485714285714286,35.5,8,2,1
2017-09-03,40.0,0.6285714285714287,0.6,0.6,0.6,28.271428571428572,31.285714285714285,26.32857142857143,11.742857142857144,35.371428571428574,10,4,3
2017-09-10,53.0,5.3428571428571425,3.1999999999999997,3.4857142857142853,3.8,27.842857142857145,30.942857142857143,25.542857142857144,7.957142857142857,39.042857142857144,9,2,1
2017-09-17,59.0,5.171428571428572,3.3714285714285714,3.914285714285714,4.000000000000001,28.214285714285715,31.271428571428572,25.485714285714288,8.785714285714286,32.31428571428571,11,4,2
2017-09-24,39.0,5.685714285714286,3.3999999999999995,3.685714285714286,4.428571428571429,27.5,31.12857142857143,24.457142857142856,7.3999999999999995,36.714285714285715,12,4,3
2017-10-01,52.0,2.0,1.542857142857143,1.7428571428571427,1.8285714285714285,27.728571428571428,31.157142857142855,25.47142857142857,6.428571428571429,29.728571428571428,11,5,1
2017-10-08,55.0,4.314285714285715,2.7142857142857144,2.971428571428571,3.2285714285714286,27.428571428571427,31.314285714285713,25.042857142857144,6.642857142857143,30.2,10,4,3
2017-10-15,63.0,7.6000000000000005,6.3999999999999995,6.971428571428571,7.142857142857143,28.085714285714285,31.728571428571428,24.557142857142857,6.7,34.41428571428572,14,5,5
2017-10-22,77.0,0.1142857142857143,0.1142857142857143,0.1142857142857143,0.1142857142857143,29.157142857142855,32.74285714285714,26.785714285714285,7.2,28.385714285714283,12,3,2
2017-10-29,62.0,4.542857142857143,4.257142857142857,4.3428571428571425,4.371428571428572,27.400000000000002,31.67142857142857,24.82857142857143,5.414285714285714,27.0,12,2,2
2017-11-05,44.0,1.8000000000000003,0.8285714285714285,1.0,1.2285714285714284,27.32857142857143,30.52857142857143,24.614285714285717,6.485714285714286,28.957142857142856,11,4,3
2017-11-12,50.0,18.542857142857144,11.285714285714286,13.542857142857143,15.4,26.485714285714288,30.75714285714286,24.099999999999998,5.671428571428572,30.5,12,3,2
2017-11-19,24.0,11.714285714285714,6.914285714285714,8.685714285714285,9.457142857142857,27.271428571428572,31.02857142857143,24.485714285714288,6.085714285714286,34.57142857142857,10,4,2
2017-11-26,38.0,4.6000000000000005,2.9714285714285715,3.085714285714286,3.542857142857143,26.97142857142857,30.37142857142857,24.685714285714287,6.442857142857143,28.714285714285715,12,4,3
2017-12-03,34.0,2.771428571428572,1.457142857142857,1.8285714285714285,2.5142857142857147,27.542857142857144,31.32857142857143,25.314285714285713,7.657142857142857,30.485714285714288,13,4,1
2017-12-10,40.0,8.914285714285713,4.171428571428572,5.742857142857143,6.942857142857142,27.042857142857144,30.657142857142855,24.75714285714286,7.042857142857143,26.271428571428572,12,4,2
2017-12-17,51.0,18.62857142857143,10.171428571428573,13.571428571428571,15.857142857142858,26.842857142857145,31.37142857142857,24.342857142857145,7.728571428571429,29.357142857142858,10,3,1
2017-12-24,66.0,8.057142857142857,4.914285714285714,6.628571428571429,7.571428571428571,27.057142857142857,30.657142857142855,24.75714285714286,9.828571428571427,33.24285714285714,6,2,1
2017-12-31,53.38461538461539,17.2,8.342857142857143,9.285714285714286,11.171428571428569,26.52857142857143,29.87142857142857,24.342857142857145,8.6,33.128571428571426,9,3,2
2018-01-07,83.0,5.171428571428572,1.342857142857143,2.1714285714285713,2.4285714285714284,26.085714285714285,28.928571428571427,24.342857142857145,6.985714285714286,26.599999999999998,15,5,3
2018-01-14,68.0,20.942857142857143,6.0,8.6,11.914285714285715,24.5,26.7,22.785714285714285,7.985714285714287,28.685714285714287,10,3,3
2018-01-21,54.0,3.9142857142857146,3.1428571428571432,3.7714285714285714,3.8000000000000003,26.599999999999998,31.02857142857143,24.157142857142855,8.128571428571428,29.942857142857143,14,4,2
2018-01-28,45.0,4.771428571428571,2.942857142857143,3.542857142857143,4.114285714285714,26.771428571428572,31.342857142857145,24.728571428571428,6.714285714285714,29.04285714285714,10,4,1
2018-02-04,48.0,8.142857142857142,4.542857142857143,5.742857142857143,6.971428571428572,27.02857142857143,31.12857142857143,24.47142857142857,11.014285714285714,38.785714285714285,9,4,3
2018-02-11,50.0,0.0,0.0,0.0,0.0,26.5,30.17142857142857,24.2,13.228571428571428,37.285714285714285,9,4,3
2018-02-18,28.0,0.028571428571428574,0.028571428571428574,0.028571428571428574,0.028571428571428574,27.25714285714286,31.72857142857143,24.614285714285717,11.714285714285714,33.58571428571428,10,3,2
