,df,dhf,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches,daily_rainf_total_squared,highest_30min_rainf_squared,highest_60min_rainf_squared,highest_120min_rainf_squared
2016-06-12,192.0,1.0,193.0,3.6,2.7142857142857144,2.8000000000000003,3.5142857142857147,29.285714285714285,33.31428571428571,26.75714285714286,6.942857142857143,37.271428571428565,14.0,3.0,4.0,12.96,7.367346938775511,7.840000000000002,12.350204081632656
2016-06-19,215.0,0.0,215.0,17.914285714285715,12.457142857142856,14.37142857142857,17.0,28.771428571428572,32.67142857142857,25.7,7.042857142857143,35.94285714285714,17.0,3.0,4.0,320.92163265306124,155.18040816326527,206.53795918367342,289.0
2016-06-26,234.0,0.0,234.0,4.514285714285714,3.142857142857143,3.2857142857142856,4.514285714285714,29.47142857142857,32.34285714285714,26.47142857142857,8.071428571428571,31.285714285714285,16.0,2.0,4.0,20.378775510204083,9.877551020408163,10.795918367346937,20.378775510204083
2016-07-03,246.0,1.0,247.0,2.2285714285714286,1.457142857142857,1.657142857142857,1.8,28.24285714285714,31.542857142857144,25.814285714285713,6.485714285714286,31.485714285714288,15.0,3.0,5.0,4.966530612244898,2.1232653061224487,2.7461224489795915,3.24
2016-07-10,223.0,0.0,223.0,2.9428571428571426,2.085714285714286,2.6571428571428575,2.8857142857142857,28.785714285714285,32.0,26.357142857142858,6.928571428571429,35.128571428571426,12.0,3.0,4.0,8.660408163265304,4.350204081632653,7.060408163265308,8.32734693877551
2016-07-17,266.0,0.0,266.0,9.6,6.371428571428572,7.742857142857142,7.857142857142857,27.87142857142857,30.942857142857143,25.47142857142857,6.042857142857143,30.17142857142857,12.0,4.0,4.0,92.16,40.595102040816336,59.95183673469386,61.73469387755102
2016-07-24,221.0,1.0,222.0,10.114285714285714,6.428571428571428,7.771428571428571,8.485714285714284,28.428571428571427,31.514285714285712,25.542857142857144,7.414285714285714,31.685714285714283,16.0,5.0,4.0,102.29877551020407,41.32653061224489,60.395102040816326,72.00734693877548
2016-07-31,211.0,0.0,211.0,0.0,0.0,0.0,0.0,29.785714285714285,32.5,27.814285714285713,10.585714285714285,29.52857142857143,13.0,3.0,5.0,0.0,0.0,0.0,0.0
2016-08-07,197.0,1.0,198.0,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9142857142857144,29.62857142857143,32.51428571428572,27.071428571428573,10.657142857142857,32.857142857142854,16.0,5.0,3.0,0.8359183673469389,0.8359183673469389,0.8359183673469389,0.8359183673469389
2016-08-14,221.0,1.0,222.0,0.8285714285714285,0.5142857142857143,0.6,0.7142857142857143,28.17142857142857,31.75714285714286,25.728571428571428,6.485714285714286,35.028571428571425,17.0,4.0,3.0,0.6865306122448979,0.2644897959183674,0.36,0.5102040816326531
2016-08-21,274.0,0.0,274.0,21.428571428571427,12.771428571428572,15.714285714285714,19.657142857142855,27.142857142857142,31.17142857142857,24.12857142857143,6.542857142857144,29.485714285714288,17.0,5.0,6.0,459.1836734693877,163.10938775510206,246.93877551020407,386.40326530612236
2016-08-28,310.0,1.0,311.0,0.9142857142857144,0.6857142857142857,0.8571428571428571,0.8857142857142856,28.02857142857143,30.82857142857143,25.47142857142857,6.685714285714285,32.92857142857143,18.0,4.0,3.0,0.8359183673469389,0.4702040816326531,0.7346938775510203,0.7844897959183671
2016-09-04,242.0,0.0,242.0,4.857142857142857,4.285714285714286,4.685714285714285,4.8,28.514285714285712,31.5,25.614285714285717,8.285714285714286,35.74285714285714,11.0,5.0,2.0,23.591836734693874,18.36734693877551,21.955918367346932,23.04
2016-09-11,174.0,0.0,174.0,1.0285714285714287,1.0285714285714287,1.0285714285714287,1.0285714285714287,29.228571428571428,32.128571428571426,27.042857142857144,7.457142857142857,30.800000000000004,14.0,4.0,3.0,1.0579591836734696,1.0579591836734696,1.0579591836734696,1.0579591836734696
2016-09-18,173.0,0.0,173.0,6.285714285714286,4.657142857142857,5.8,6.228571428571429,29.157142857142855,31.771428571428572,26.071428571428573,11.157142857142857,35.94285714285714,13.0,3.0,3.0,39.51020408163265,21.68897959183673,33.64,38.795102040816325
2016-09-25,138.0,0.0,138.0,4.542857142857143,3.4285714285714284,4.114285714285714,4.428571428571429,28.985714285714288,32.285714285714285,26.17142857142857,6.957142857142857,31.071428571428573,32.0,6.0,6.0,20.63755102040816,11.755102040816325,16.927346938775507,19.612244897959187
2016-10-02,125.0,0.0,125.0,3.9428571428571426,3.0,3.057142857142857,3.1142857142857143,28.285714285714285,31.67142857142857,25.599999999999998,6.728571428571429,33.642857142857146,22.0,4.0,3.0,15.54612244897959,9.0,9.34612244897959,9.698775510204081
2016-10-09,94.0,0.0,94.0,4.0285714285714285,3.342857142857143,3.7714285714285714,3.8857142857142857,28.099999999999998,31.071428571428573,25.52857142857143,7.5,37.91428571428571,16.0,3.0,3.0,16.22938775510204,11.174693877551022,14.223673469387755,15.098775510204081
2016-10-16,108.0,0.0,108.0,8.542857142857143,4.428571428571429,5.485714285714286,5.857142857142857,27.957142857142856,31.542857142857144,24.142857142857142,6.7,37.58571428571429,14.0,3.0,2.0,72.98040816326531,19.612244897959187,30.093061224489798,34.306122448979586
2016-10-23,84.0,0.0,84.0,2.6142857142857143,1.7571428571428573,2.357142857142857,2.557142857142857,28.428571428571427,32.528571428571425,25.12857142857143,6.928087034866444,29.936400125463738,11.0,3.0,2.0,6.834489795918367,3.087551020408164,5.556122448979592,6.538979591836734
2016-10-30,85.0,1.0,86.0,1.0285714285714287,0.8857142857142858,0.9714285714285714,1.0,28.814285714285713,33.1,25.842857142857145,6.414285714285714,32.48571428571429,13.0,2.0,1.0,1.0579591836734696,0.7844897959183674,0.9436734693877551,1.0
2016-11-06,84.0,0.0,84.0,14.0,8.542857142857143,11.885714285714286,12.200000000000001,27.928571428571427,31.25714285714286,24.428571428571427,5.814285714285715,32.81428571428572,12.0,1.0,1.0,196.0,72.98040816326531,141.27020408163267,148.84000000000003
2016-11-13,72.0,0.0,72.0,0.9714285714285714,0.7142857142857143,0.7428571428571429,0.7999999999999999,29.52857142857143,33.457142857142856,26.285714285714285,8.171428571428573,33.44285714285714,11.0,2.0,3.0,0.9436734693877551,0.5102040816326531,0.5518367346938776,0.6399999999999999
2016-11-20,74.0,1.0,75.0,4.057142857142857,3.257142857142857,3.6000000000000005,3.742857142857143,28.7,32.2,25.571428571428573,7.042857142857144,34.114285714285714,10.0,2.0,3.0,16.460408163265303,10.608979591836734,12.960000000000004,14.008979591836734
2016-11-27,86.0,0.0,86.0,6.828571428571428,3.9714285714285715,4.685714285714286,4.971428571428571,26.942857142857143,31.02857142857143,24.271428571428572,5.385714285714286,29.114285714285717,10.0,2.0,1.0,46.62938775510204,15.772244897959185,21.955918367346943,24.71510204081632
2016-12-04,59.0,0.0,59.0,8.514285714285714,4.828571428571428,6.2,6.857142857142857,27.75714285714286,31.099999999999998,25.057142857142857,6.1000000000000005,29.97142857142857,7.0,1.0,1.0,72.4930612244898,23.315102040816324,38.440000000000005,47.0204081632653
2016-12-11,81.0,0.0,81.0,13.000000000000002,5.628571428571428,9.314285714285715,10.799999999999999,27.428571428571427,30.928571428571427,24.8,5.742857142857143,30.128571428571426,7.0,2.0,2.0,169.00000000000006,31.680816326530607,86.75591836734695,116.63999999999997
2016-12-18,72.0,0.0,72.0,18.4,10.228571428571428,14.685714285714285,16.4,27.114285714285717,30.599999999999998,24.442857142857143,5.614285714285714,31.157142857142855,8.0,3.0,2.0,338.55999999999995,104.62367346938774,215.67020408163265,268.96
2016-12-25,64.0,0.0,64.0,1.4285714285714286,0.7142857142857143,0.8857142857142858,1.2,27.657142857142855,30.728571428571428,25.32857142857143,6.314285714285715,27.357142857142858,8.0,1.0,1.0,2.0408163265306123,0.5102040816326531,0.7844897959183674,1.44
2017-01-01,70.0,0.0,70.0,5.714285714285714,3.7142857142857144,4.628571428571429,4.771428571428571,27.3,30.285714285714285,25.171428571428574,6.528571428571429,23.97142857142857,6.0,1.0,1.0,32.6530612244898,13.795918367346939,21.423673469387758,22.766530612244896
2017-01-08,90.0,1.0,91.0,12.685714285714285,9.342857142857143,9.742857142857142,9.914285714285713,27.67142857142857,31.82857142857143,24.514285714285712,6.871428571428572,31.82857142857143,7.0,2.0,1.0,160.9273469387755,87.28897959183675,94.92326530612243,98.29306122448976
2017-01-15,74.0,1.0,75.0,4.942857142857143,3.485714285714286,3.6285714285714286,3.6571428571428575,27.928571428571427,32.4,25.142857142857142,7.2,31.871428571428574,5.0,2.0,2.0,24.431836734693878,12.150204081632657,13.166530612244898,13.374693877551023
2017-01-22,66.0,0.0,66.0,17.742857142857144,9.428571428571429,12.171428571428573,15.942857142857145,27.385714285714283,32.214285714285715,24.685714285714287,7.728571428571429,35.75714285714286,6.0,0.0,0.0,314.80897959183676,88.89795918367348,148.14367346938778,254.17469387755108
2017-01-29,62.0,0.0,62.0,0.9428571428571428,0.39999999999999997,0.4857142857142857,0.6,26.728571428571428,30.37142857142857,24.52857142857143,7.928571428571429,29.314285714285713,13.0,6.0,3.0,0.8889795918367347,0.15999999999999998,0.23591836734693877,0.36
2017-02-05,77.0,0.0,77.0,0.6857142857142857,0.5428571428571428,0.6571428571428571,0.6571428571428571,27.67142857142857,31.585714285714285,25.185714285714287,7.1571428571428575,28.542857142857144,12.0,3.0,1.0,0.4702040816326531,0.2946938775510204,0.43183673469387757,0.43183673469387757
2017-02-12,51.0,2.0,53.0,5.8,5.085714285714286,5.285714285714286,5.457142857142857,27.5,31.928571428571427,24.985714285714288,7.614285714285715,30.91428571428571,12.0,4.0,3.0,33.64,25.864489795918374,27.93877551020408,29.780408163265307
2017-02-19,54.0,0.0,54.0,9.6,8.22857142857143,9.285714285714286,9.428571428571429,26.685714285714287,30.75714285714286,24.24285714285714,7.614285714285714,30.285714285714285,9.0,3.0,3.0,92.16,67.70938775510206,86.22448979591839,88.89795918367348
2017-02-26,41.0,0.0,41.0,11.685714285714285,2.485714285714286,3.0285714285714285,4.0285714285714285,26.0,28.842857142857145,24.157142857142855,8.657142857142857,32.65714285714286,9.0,0.0,0.0,136.55591836734692,6.178775510204084,9.172244897959184,16.22938775510204
2017-03-05,32.0,0.0,32.0,9.685714285714285,6.914285714285714,8.657142857142857,9.514285714285714,26.8,30.900000000000002,24.75714285714286,7.771428571428571,28.914285714285715,11.0,4.0,4.0,93.81306122448979,47.8073469387755,74.94612244897958,90.52163265306122
2017-03-12,34.0,1.0,35.0,5.171428571428571,3.257142857142857,3.742857142857143,4.428571428571429,26.842857142857145,30.614285714285717,24.67142857142857,9.971428571428572,34.17142857142857,9.0,1.0,3.0,26.743673469387748,10.608979591836734,14.008979591836734,19.612244897959187
